analysis,field,node,CI
test-fields,Field 2,TOTAL,6.115177030999151
test-fields,Field 2,ExplorationAndDrilling,1.7200118030010358
test-fields,Field 2,ProductionExtraction,4.252350893497416
test-fields,Field 2,SurfaceProcessing,0.0
test-fields,Field 2,TransportAndStorage,0.0
test-fields,Field 2,LiquifiedNaturalGas,0.0
test-fields,Field 2,After,0.0
test-fields,Field 3,TOTAL,7.005810271286428
test-fields,Field 3,ExplorationAndDrilling,1.7201248040705808
test-fields,Field 3,ProductionExtraction,5.053939558753511
test-fields,Field 3,SurfaceProcessing,0.0
test-fields,Field 3,TransportAndStorage,0.0
test-fields,Field 3,LiquifiedNaturalGas,0.0
test-fields,Field 3,After,0.0
test-fields,Field 4,TOTAL,7.276408446432929
test-fields,Field 4,ExplorationAndDrilling,1.7200186541776437
test-fields,Field 4,ProductionExtraction,5.299972317474169
test-fields,Field 4,SurfaceProcessing,0.0
test-fields,Field 4,TransportAndStorage,0.0
test-fields,Field 4,LiquifiedNaturalGas,0.0
test-fields,Field 4,After,0.0
test-fields,Field 5,TOTAL,6.80699775095737
test-fields,Field 5,ExplorationAndDrilling,1.7200936928196657
test-fields,Field 5,ProductionExtraction,4.943045860976329
test-fields,Field 5,SurfaceProcessing,0.0
test-fields,Field 5,TransportAndStorage,0.0
test-fields,Field 5,LiquifiedNaturalGas,0.0
test-fields,Field 5,After,0.0
test-fields,Field 6,TOTAL,8.577062714027974
test-fields,Field 6,ExplorationAndDrilling,1.7200071313763436
test-fields,Field 6,ProductionExtraction,6.310513973191799
test-fields,Field 6,SurfaceProcessing,0.0
test-fields,Field 6,TransportAndStorage,0.0
test-fields,Field 6,LiquifiedNaturalGas,0.0
test-fields,Field 6,After,0.0
test-fields,Field 7,TOTAL,6.032338795971147
test-fields,Field 7,ExplorationAndDrilling,1.7201814504341537
test-fields,Field 7,ProductionExtraction,4.150889484904749
test-fields,Field 7,SurfaceProcessing,0.0
test-fields,Field 7,TransportAndStorage,0.0
test-fields,Field 7,LiquifiedNaturalGas,0.0
test-fields,Field 7,After,0.0
test-fields,Field 8,TOTAL,6.563922024817817
test-fields,Field 8,ExplorationAndDrilling,1.7200088842367451
test-fields,Field 8,ProductionExtraction,4.383854710475919
test-fields,Field 8,SurfaceProcessing,0.0
test-fields,Field 8,TransportAndStorage,0.0
test-fields,Field 8,LiquifiedNaturalGas,0.0
test-fields,Field 8,After,0.0
test-fields,Field 9,TOTAL,6.6457283452069635
test-fields,Field 9,ExplorationAndDrilling,1.7205125798832126
test-fields,Field 9,ProductionExtraction,4.709004385305715
test-fields,Field 9,SurfaceProcessing,0.0
test-fields,Field 9,TransportAndStorage,0.0
test-fields,Field 9,LiquifiedNaturalGas,0.0
test-fields,Field 9,After,0.0
test-fields,Field 10,TOTAL,7.168504274560585
